date,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera
3/19/2018,crossbow,50,Male,White,Lone Rock,AR,FALSE,other,Not fleeing,FALSE
7/17/2015,gun,50,Male,White,Needles,CA,TRUE,attack,Not fleeing,FALSE
1/18/2017,hatchet,50,Male,White,Los Angeles,CA,FALSE,other,Car,FALSE
5/10/2017,vehicle,50,Male,White,Barona Indian Reservation,CA,FALSE,other,Car,FALSE
10/29/2017,gun,50,Male,White,Centennial,CO,FALSE,attack,Not fleeing,FALSE
2/22/2015,gun,50,Male,White,Palm Bay,FL,FALSE,attack,Not fleeing,FALSE
2/14/2016,knife,50,Male,White,Bradenton,FL,TRUE,other,Not fleeing,FALSE
7/25/2015,gun,50,Male,White,Decatur,GA,TRUE,attack,Not fleeing,FALSE
1/8/2016,gun,50,Male,White,Acworth,GA,TRUE,attack,Not fleeing,FALSE
9/26/2017,gun,50,Male,White,Coolin,ID,FALSE,other,Not fleeing,FALSE
11/27/2016,blunt object,50,Male,White,Olathe,KS,FALSE,attack,Not fleeing,FALSE
6/20/2017,gun,50,Male,White,Lehigh,KS,TRUE,other,Not fleeing,FALSE
6/12/2017,gun,50,Male,White,Trosper,KY,FALSE,attack,Not fleeing,FALSE
9/17/2015,gun,50,Male,White,Beaverton,MI,FALSE,attack,Not fleeing,FALSE
3/29/2016,gun,50,Female,White,Aitkin,MN,TRUE,attack,Not fleeing,FALSE
9/8/2017,undetermined,50,Male,White,Monett,MO,TRUE,other,Not fleeing,FALSE
7/8/2017,gun,50,Female,White,Newton Grove,NC,FALSE,attack,Not fleeing,FALSE
10/5/2015,gun,50,Male,White,Woodbridge,NJ,FALSE,attack,Not fleeing,FALSE
11/10/2017,gun,50,Male,White,Albuquerque,NM,FALSE,attack,Not fleeing,FALSE
10/15/2015,gun,50,Female,White,Las Vegas,NV,TRUE,attack,Car,FALSE
1/21/2017,knife,50,Male,White,Jean,NV,TRUE,attack,Not fleeing,FALSE
11/23/2015,gun,50,Male,White,Columbus,OH,FALSE,attack,Not fleeing,FALSE
3/4/2017,gun,50,Male,White,Fountain Inn,SC,TRUE,attack,Not fleeing,FALSE
7/2/2016,gun,50,Male,White,Bristol,TN,FALSE,attack,Not fleeing,FALSE
9/26/2017,gun,50,Male,White,Fairview,TN,FALSE,attack,Not fleeing,FALSE
11/28/2015,baseball bat and fireplace poker,50,Male,White,Seagoville,TX,FALSE,other,Not fleeing,FALSE
3/10/2016,gun,50,Male,White,Odessa,TX,TRUE,attack,Not fleeing,FALSE
7/9/2015,gun,50,Male,White,Parowan,UT,FALSE,attack,Not fleeing,FALSE
7/26/2016,gun,50,Male,White,Pine River,WI,FALSE,attack,Car,FALSE
1/25/2017,gun,50,Male,White,Millston,WI,TRUE,attack,Not fleeing,TRUE
7/22/2016,gun,50,Male,White,Buckhannon,WV,FALSE,attack,,FALSE
9/14/2017,knife,50,Male,White,Frametown,WV,FALSE,attack,Not fleeing,FALSE
6/21/2016,gun,50,Male,White,Casper,WY,TRUE,attack,Not fleeing,FALSE
1/4/2017,gun,51,Male,Black,Pomona,CA,FALSE,attack,Foot,FALSE
12/15/2015,vehicle,51,Male,Black,Dallas,NC,FALSE,attack,Car,FALSE
5/26/2015,gun,51,Male,Black,Queens,NY,FALSE,attack,Not fleeing,FALSE
8/21/2017,gun,51,Male,Black,Steubenville,OH,FALSE,attack,Not fleeing,FALSE
